"Source:","/home/phillip/Dropbox/Electronics/Projects/BenchBudee_LCD_Shield/BenchBudee_LCD_Shield.sch"
"Date:","Wed 28 May 2014 02:24:52 AM EST"
"Tool:","Eeschema (2014-05-22 BZR 4885)-product"
"Component Count:","13"
"Ref","Value","Footprint","Manufacturer","Manufacturer Part No","Distributor Part No","Distributor Link"
"DS1","LCD16X2","Display:WC1602A","","","",""
"IC1","MCP23017","SSOP_Packages:SSOP-28","MICROCHIP","MCP23017-E/SS","1467674","http://au.element14.com/microchip/mcp23017-e-ss/ic-io-expander-16bit-smd/dp/1467674"
"R1","330","Resistors_SMD:Resistor_SMD0805_HandSoldering","","","",""
"R2","4.7K","Resistors_SMD:Resistor_SMD0805_HandSoldering","","","",""
"R3","4.7K","Resistors_SMD:Resistor_SMD0805_HandSoldering","","","",""
"SHIELD1","ARDUINO_SHIELD","Arduino:ARDUINO_UNO","OSHPARK","","",""
"SW1","LEFT","BenchBudee:SW_PUSH","MULTICOMP","MCDTS6-3R","9471740","http://au.element14.com/multicomp/mcdts6-3r/tactile-switch-7mm-260g/dp/9471740"
"SW2","UP","BenchBudee:SW_PUSH","MULTICOMP","MCDTS6-3R","9471740","http://au.element14.com/multicomp/mcdts6-3r/tactile-switch-7mm-260g/dp/9471740"
"SW3","DOWN","BenchBudee:SW_PUSH","MULTICOMP","MCDTS6-3R","9471740","http://au.element14.com/multicomp/mcdts6-3r/tactile-switch-7mm-260g/dp/9471740"
"SW4","RIGHT","BenchBudee:SW_PUSH","MULTICOMP","MCDTS6-3R","9471740","http://au.element14.com/multicomp/mcdts6-3r/tactile-switch-7mm-260g/dp/9471740"
"SW5","SELECT","BenchBudee:SW_PUSH","","","",""
"SW6","RESET","BenchBudee:SW_PUSH","MULTICOMP","MCDTS6-3R","9471740","http://au.element14.com/multicomp/mcdts6-3r/tactile-switch-7mm-260g/dp/9471740"
"TM1","10K","Potentiometers:Potentiometer_VishaySpectrol-Econtrim-Type36k","BOURNS","3306P-1-103","108239","http://au.element14.com/bourns/3306p-1-103/trimmer-10k/dp/108239"
